Category,Product Name,Brand,Unit/Quantity,Variant/Offer Type,DMart Price ,Star Bazaar Price ,Reliance SMART Price 
Staples,Atta Whole Wheat,Aashirvaad,10 kg,Regular Offer 1,450,479,473
Staples,Atta Whole Wheat,Aashirvaad,10 kg,Regular Offer 2,448,479,473
Staples,Atta Whole Wheat,Aashirvaad,10 kg,Regular Offer 3,452,477,470
Staples,Atta Whole Wheat,Aashirvaad,10 kg,Regular Offer 4,449,479,472
Staples,Atta Whole Wheat,Aashirvaad,10 kg,Regular Offer 5,455,485,465
Staples,Atta Whole Wheat,Shakti Bhog,10 kg,Regular Offer 1,438,460,457
Staples,Atta Whole Wheat,Shakti Bhog,10 kg,Regular Offer 2,444,455,453
Staples,Atta Whole Wheat,Shakti Bhog,10 kg,Regular Offer 3,445,465,459
Staples,Atta Whole Wheat,Shakti Bhog,10 kg,Regular Offer 4,440,461,458
Staples,Atta Whole Wheat,Shakti Bhog,10 kg,Regular Offer 5,445,457,450
Staples,Atta Whole Wheat,Reliance Good Life,10 kg,Regular Offer 1,402,415,402
Staples,Atta Whole Wheat,Reliance Good Life,10 kg,Regular Offer 2,402,407,404
Staples,Atta Whole Wheat,Reliance Good Life,10 kg,Regular Offer 3,394,407,401
Staples,Atta Whole Wheat,Reliance Good Life,10 kg,Regular Offer 4,402,414,403
Staples,Atta Whole Wheat,Reliance Good Life,10 kg,Regular Offer 5,394,406,405
Staples,Atta Whole Wheat,DMart Premia,10 kg,Regular Offer 1,386,,391
Staples,Atta Whole Wheat,DMart Premia,10 kg,Regular Offer 2,390,,395
Staples,Atta Whole Wheat,DMart Premia,10 kg,Regular Offer 3,382,,399
Staples,Atta Whole Wheat,DMart Premia,10 kg,Regular Offer 4,383,,392
Staples,Atta Whole Wheat,DMart Premia,10 kg,Regular Offer 5,389,,393
Staples,Basmati Rice,India Gate Classic,5 kg,Regular Offer 1,652,683,677
Staples,Basmati Rice,India Gate Classic,5 kg,Regular Offer 2,646,676,670
Staples,Basmati Rice,India Gate Classic,5 kg,Regular Offer 3,654,677,679
Staples,Basmati Rice,India Gate Classic,5 kg,Regular Offer 4,646,680,679
Staples,Basmati Rice,India Gate Classic,5 kg,Regular Offer 5,648,685,676
Staples,Basmati Rice,DMart Premia,5 kg,Regular Offer 1,525,,532
Staples,Basmati Rice,DMart Premia,5 kg,Regular Offer 2,525,,525
Staples,Basmati Rice,DMart Premia,5 kg,Regular Offer 3,524,,528
Staples,Basmati Rice,DMart Premia,5 kg,Regular Offer 4,525,,530
Staples,Basmati Rice,DMart Premia,5 kg,Regular Offer 5,515,,525
Staples,Tur Dal (Toor),Tata Sampann,1 kg,Regular Offer 1,171,180,179
Staples,Tur Dal (Toor),Tata Sampann,1 kg,Regular Offer 2,175,189,183
Staples,Tur Dal (Toor),Tata Sampann,1 kg,Regular Offer 3,171,185,175
Staples,Tur Dal (Toor),Tata Sampann,1 kg,Regular Offer 4,175,185,179
Staples,Tur Dal (Toor),Tata Sampann,1 kg,Regular Offer 5,175,186,177
Staples,Tur Dal (Toor),DMart Premia,1 kg,Regular Offer 1,135,138,147
Staples,Tur Dal (Toor),DMart Premia,1 kg,Regular Offer 2,130,145,147
Staples,Tur Dal (Toor),DMart Premia,1 kg,Regular Offer 3,134,142,145
Staples,Tur Dal (Toor),DMart Premia,1 kg,Regular Offer 4,133,142,145
Staples,Tur Dal (Toor),DMart Premia,1 kg,Regular Offer 5,133,140,147
Staples,Moong Dal,Fortune,1 kg,Regular Offer 1,149,158,148
Staples,Moong Dal,Fortune,1 kg,Regular Offer 2,143,153,154
Staples,Moong Dal,Fortune,1 kg,Regular Offer 3,144,153,150
Staples,Moong Dal,Fortune,1 kg,Regular Offer 4,147,157,150
Staples,Moong Dal,Fortune,1 kg,Regular Offer 5,147,156,150
Staples,Moong Dal,Star Swaad,1 kg,Regular Offer 1,123,126,
Staples,Moong Dal,Star Swaad,1 kg,Regular Offer 2,122,127,
Staples,Moong Dal,Star Swaad,1 kg,Regular Offer 3,121,125,
Staples,Moong Dal,Star Swaad,1 kg,Regular Offer 4,124,128,
Staples,Moong Dal,Star Swaad,1 kg,Regular Offer 5,123,127,
Staples,Sugar,DMart Premia,5 kg,Regular Offer 1,236,,242
Staples,Sugar,DMart Premia,5 kg,Regular Offer 2,236,,248
Staples,Sugar,DMart Premia,5 kg,Regular Offer 3,242,,244
Staples,Sugar,DMart Premia,5 kg,Regular Offer 4,236,,249
Staples,Sugar,DMart Premia,5 kg,Regular Offer 5,242,,247
Staples,Sugar,Branded Pack,5 kg,Regular Offer 1,250,265,257
Staples,Sugar,Branded Pack,5 kg,Regular Offer 2,253,264,259
Staples,Sugar,Branded Pack,5 kg,Regular Offer 3,252,263,253
Staples,Sugar,Branded Pack,5 kg,Regular Offer 4,254,258,258
Staples,Sugar,Branded Pack,5 kg,Regular Offer 5,245,264,251
Oil & Ghee,Refined Sunflower Oil,Fortune Sunlite,5 L,Jar,724,755,735
Oil & Ghee,Refined Sunflower Oil,Fortune Sunlite,5 L,Pouch,723,755,738
Oil & Ghee,Refined Sunflower Oil,Fortune Sunlite,5 L,Can,723,745,737
Oil & Ghee,Refined Sunflower Oil,Fortune Sunlite,5 L,Jar,716,754,739
Oil & Ghee,Refined Sunflower Oil,Fortune Sunlite,5 L,Pouch,724,749,735
Oil & Ghee,Refined Sunflower Oil,Star Brand,5 L,Jar,676,686,
Oil & Ghee,Refined Sunflower Oil,Star Brand,5 L,Pouch,683,691,
Oil & Ghee,Refined Sunflower Oil,Star Brand,5 L,Can,678,686,
Oil & Ghee,Refined Sunflower Oil,Star Brand,5 L,Jar,680,693,
Oil & Ghee,Refined Sunflower Oil,Star Brand,5 L,Pouch,677,690,
Oil & Ghee,Refined Sunflower Oil,DMart Premia,5 L,Jar,670,,688
Oil & Ghee,Refined Sunflower Oil,DMart Premia,5 L,Pouch,677,,681
Oil & Ghee,Refined Sunflower Oil,DMart Premia,5 L,Can,675,,688
Oil & Ghee,Refined Sunflower Oil,DMart Premia,5 L,Jar,673,,686
Oil & Ghee,Refined Sunflower Oil,DMart Premia,5 L,Pouch,678,,680
Oil & Ghee,Groundnut Oil,Star Brand,1 L,Regular Offer 1,180,198,
Oil & Ghee,Groundnut Oil,Star Brand,1 L,Regular Offer 2,184,195,
Oil & Ghee,Groundnut Oil,Star Brand,1 L,Regular Offer 3,184,196,
Oil & Ghee,Groundnut Oil,Star Brand,1 L,Regular Offer 4,183,198,
Oil & Ghee,Groundnut Oil,Star Brand,1 L,Regular Offer 5,178,198,
Oil & Ghee,Groundnut Oil,DMart Premia,1 L,Regular Offer 1,179,,186
Oil & Ghee,Groundnut Oil,DMart Premia,1 L,Regular Offer 2,176,,184
Oil & Ghee,Groundnut Oil,DMart Premia,1 L,Regular Offer 3,184,,191
Oil & Ghee,Groundnut Oil,DMart Premia,1 L,Regular Offer 4,180,,185
Oil & Ghee,Groundnut Oil,DMart Premia,1 L,Regular Offer 5,183,,189
Oil & Ghee,Ghee Pure,Amul,1 L,Regular Offer 1,595,622,613
Oil & Ghee,Ghee Pure,Amul,1 L,Regular Offer 2,593,618,612
Oil & Ghee,Ghee Pure,Amul,1 L,Regular Offer 3,594,621,613
Oil & Ghee,Ghee Pure,Amul,1 L,Regular Offer 4,591,623,610
Oil & Ghee,Ghee Pure,Amul,1 L,Regular Offer 5,586,619,609
Oil & Ghee,Ghee Pure,Star Brand,1 L,Regular Offer 1,553,556,
Oil & Ghee,Ghee Pure,Star Brand,1 L,Regular Offer 2,545,557,
Oil & Ghee,Ghee Pure,Star Brand,1 L,Regular Offer 3,550,559,
Oil & Ghee,Ghee Pure,Star Brand,1 L,Regular Offer 4,547,562,
Oil & Ghee,Ghee Pure,Star Brand,1 L,Regular Offer 5,550,562,
Home Care,Detergent Powder,Surf Excel Easy Wash,5 kg,Regular Offer 1,597,624,614
Home Care,Detergent Powder,Surf Excel Easy Wash,5 kg,Regular Offer 2,594,619,611
Home Care,Detergent Powder,Surf Excel Easy Wash,5 kg,Regular Offer 3,594,621,619
Home Care,Detergent Powder,Surf Excel Easy Wash,5 kg,Regular Offer 4,598,619,615
Home Care,Detergent Powder,Surf Excel Easy Wash,5 kg,Regular Offer 5,594,622,614
Home Care,Detergent Powder,Star Bright,5 kg,Regular Offer 1,304,306,
Home Care,Detergent Powder,Star Bright,5 kg,Regular Offer 2,301,311,
Home Care,Detergent Powder,Star Bright,5 kg,Regular Offer 3,299,315,
Home Care,Detergent Powder,Star Bright,5 kg,Regular Offer 4,297,308,
Home Care,Detergent Powder,Star Bright,5 kg,Regular Offer 5,301,309,
Home Care,Detergent Liquid,Ariel Matic Top Load,6 L,Top Load,698,754,727
Home Care,Detergent Liquid,Ariel Matic Top Load,6 L,Front Load,703,747,735
Home Care,Detergent Liquid,Ariel Matic Top Load,6 L,Pouch,704,747,735
Home Care,Detergent Liquid,Ariel Matic Top Load,6 L,Value Pack,694,750,733
Home Care,Detergent Liquid,Ariel Matic Top Load,6 L,Top Load,704,755,733
Home Care,Detergent Liquid,Priskleen (Reliance),6 L,Top Load,,501,509
Home Care,Detergent Liquid,Priskleen (Reliance),6 L,Front Load,,500,511
Home Care,Detergent Liquid,Priskleen (Reliance),6 L,Pouch,,498,512
Home Care,Detergent Liquid,Priskleen (Reliance),6 L,Value Pack,,504,507
Home Care,Detergent Liquid,Priskleen (Reliance),6 L,Top Load,,503,506
Home Care,Dishwash Bar,Vim,500g,Regular Offer 1,49,50,45
Home Care,Dishwash Bar,Vim,500g,Regular Offer 2,41,49,49
Home Care,Dishwash Bar,Vim,500g,Regular Offer 3,42,45,46
Home Care,Dishwash Bar,Vim,500g,Regular Offer 4,46,47,47
Home Care,Dishwash Bar,Vim,500g,Regular Offer 5,47,51,49
Home Care,Dishwash Bar,DMart Premia,500g,Regular Offer 1,35,,37
Home Care,Dishwash Bar,DMart Premia,500g,Regular Offer 2,36,,38
Home Care,Dishwash Bar,DMart Premia,500g,Regular Offer 3,36,,35
Home Care,Dishwash Bar,DMart Premia,500g,Regular Offer 4,37,,39
Home Care,Dishwash Bar,DMart Premia,500g,Regular Offer 5,34,,38
Home Care,Toilet Cleaner,Harpic,1 L,Regular Offer 1,123,130,131
Home Care,Toilet Cleaner,Harpic,1 L,Regular Offer 2,130,138,132
Home Care,Toilet Cleaner,Harpic,1 L,Regular Offer 3,121,133,131
Home Care,Toilet Cleaner,Harpic,1 L,Regular Offer 4,127,131,129
Home Care,Toilet Cleaner,Harpic,1 L,Regular Offer 5,125,135,127
Home Care,Toilet Cleaner,Reliance Good Life,1 L,Regular Offer 1,114,107,111
Home Care,Toilet Cleaner,Reliance Good Life,1 L,Regular Offer 2,110,113,110
Home Care,Toilet Cleaner,Reliance Good Life,1 L,Regular Offer 3,107,110,114
Home Care,Toilet Cleaner,Reliance Good Life,1 L,Regular Offer 4,115,110,114
Home Care,Toilet Cleaner,Reliance Good Life,1 L,Regular Offer 5,108,111,117
