Store_Chain,Store_Type,Locality,Full_Address,Pincode,Latitude,Longitude
DMart,Hypermarket,Wakad (Hinjewadi),"Wakad Road, Hinjewadi (Opposite Tulja Bhavani Temple, Near Vivanta Hotel)",411057,18.5986,73.7431
DMart,Hypermarket,Hadapsar,"Kale Padal Road, Hadapsar (Near Sasane Nagar, Kale Colony)",411028,18.5029,73.9317
DMart,Hypermarket,Nanded City (Sinhagad Road),"Nanded Shivane Link Road, Sinhagad Road",411068,18.4552,73.7845
DMart,Hypermarket,Kalyani Nagar-Vadgaon Sheri,"Kumar Cerebrum Complex, Cybage Tower Road, Kalyani Nagar-Vadgaon Sheri",411014,18.5583,73.9056
DMart,Hypermarket,Aundh,"Aundh (Opposite Mc Donald's, Near Aundh Bridge, Parihar Chowk)",411007,18.5670,73.8052
DMart,Hypermarket,Padmavati (Pune Satara Road),"Pune Satara Road (Opposite Sharda Arcade, Padmavati Chowk)",411009,18.4735,73.8471
DMart,Hypermarket,Bibvewadi,"Padmadarshan Society, National Highway 4, Bibvewadi",411037,18.4764,73.8765
DMart,Hypermarket,Baner,"Baner (Near Dmart & Sadanand Hotel, Amar Mega Plex)",411045,18.5668,73.7745
DMart,Hypermarket,Chinchwad East,"Telco Road, Chinchwad East (Near Bharat Petrol Pump)",411019,18.6360,73.8033
DMart,Hypermarket,Kondhwa Khurd,"Tyni Audyogic Wasahat, Kondhwa Khurd",411048,18.4610,73.8890
Star Bazaar,Hypermarket,Chinchwad East,"Plot No.91, Opposite Greaves Limited Service Road, Kalbhor Nagar",411019,18.6500,73.7900
Star Bazaar,Supermarket,Model Colony,"MCCIA Trade Tower, Bhamburda, Senapati Bapat Road, Shivaji Nagar Model Colony",411016,18.5350,73.8320
Star Bazaar,Supermarket,Baner,"Montclaire, Baner - Pashan Link Road, Pashan",411045,18.5668,73.7745
Star Bazaar,Supermarket,Pimple Saudagar,"Vision 9 Mall, Kunal Icon Rd, Pimple Saudagar",411027,18.6200,73.7900
Reliance Mart,Superstore,Wanowrie,"Survey No 15, Tain Square Building, Pune Solapur Road, Fatima Nagar",411040,18.5025,73.9002
Reliance Mart,Smart Bazaar,Aundh,"Westend Center, DP Road (Opposite Macdonald)",411007,18.5670,73.8052
Reliance Mart,Superstore,Kharadi,"Shop No 2B/2C, Survey No 8, Kharadi South Main Road",411014,18.5570,73.9290
Reliance Mart,Superstore,Chakan,"Gat No 1638 & 1648, Pune Nashik Highway, Khed",410501,18.8258,73.8372
Reliance Mart,Superstore,Erandwane,"1st Floor 8/13, Down Tall Mall, Khilare Patil Road",411004,18.5133,73.8276
