chain,storeName,locality,fullAddress,pincode
D-Mart,D-Mart,Hinjewadi,"D Mart, Wakad Road, Hinjewadi (Opposite Tulja Bhavani Temple, Near Vivanta Hotel)",411057
D-Mart,D-Mart,Hadapsar,"Kale Padal Road, Hadapsar (Near Sasane Nagar, Kale Colony)",411028
D-Mart,D-Mart,Nanded City,"Nanded Shivane Link Road, Sinhagad Road, Nanded City (Near Nanded Phata, Ghule Patil Nagar, Vadgaon Budruk)",411068
D-Mart,D-Mart,Kalyani Nagar/Vadgaon Sheri,"Kumar Cerebrum Complex, Cybage Tower Road, Kalyani Nagar-Vadgaon Sheri (Behind Marigold & Gold Big Cinema, Opposite Cybage Company)",411014
D-Mart,D-Mart,Aundh,"Aundh (Opposite Mc Donald's, Near Aundh Bridge, Parihar Chowk)",411007
D-Mart,D-Mart,Padmavati,"Pune Satara Road, Padmavati (Opposite Sharda Arcade, Padmavati Chowk)",411009
D-Mart,D-Mart,Bibvewadi,"Padmadarshan Society, National Highway 4, Bibvewadi (Parvati Paytha, Sant Nagar)",411037
D-Mart,D-Mart,Dhore Nagar-Sangavi,"Amar Megaplex, Dhore Nagar-Sangavi (Near Sadanand Hotel, Ram Nagar)",411027
D-Mart,D-Mart,Katraj,"Shani Nagar, Ambegaon Bk, Pune, Mumbai Pune Road, Katraj",411046
D-Mart,D-Mart,Ambegaon Budruk,"Datta Nagar Road, Katraj Bypass Road, Ambegaon Budruk (Near Beldare, Opposite Trimurti Garden)",411046
D-Mart,D-Mart,Nigdi,"Nilay 2, Sector No. 29, Ravet High St Road, Nigdi (Opposite D Y Patil College, Shinde Vasti, Pcntda)",411044
D-Mart,D-Mart,Thergaon,"Sector No. 34, Kalewadi Pimpri Road, Hedgewar Path, Thergaon (Near M M College, Kalewadi)",411033
D-Mart,D-Mart,Chinchwad East,"C/O Avenue Super Markets Pvt Ltd, Telco Road, Chinchwad East (Near Bharat Petrol Pump & Opposite Big Bazar)",411019
D-Mart,D-Mart,Baner,"Baner (Near Dmart & Sadanand Hotel, Amar Mega Plex)",411045
Star Bazaar,Star HYPER,Chinchwad,"Plot No.91, Opposite Greaves Limited Service Road, Kalbhor Nagar",411019
Star Bazaar,Star Bazaar,Purnanagar,"Privia Naimish, Spine Road, Purnanagar (Near Tata Telco Factory)",411019
Star Bazaar,Star Bazaar,Hadapsar,"Trade Park, Undri, Katraj Hadapsar Bypass Road, Hadapsar",411028
Star Bazaar,Star Bazaar (Seasons Mall),Hadapsar,"Seasons Mall, Adarsh Nagar-Hadapsar (Magarpatta City)",411028
Star Bazaar,Star Bazaar (Phoenix Marketcity),Viman Nagar,"Phoenix Marketcity Mall, Pune Nagar Road, Viman Nagar (Behind Baker Gauges, Next to Tyco Electronics)",411014
Star Bazaar,Star Bazaar,Model Colony,"Kakade Bizz Icon, Ganeshkhind Road, Model Colony (Next to Esquare, Ashok Nagar)",411016
Star Bazaar,Star Bazaar,Shivaji Nagar,"MCCIA Trade Tower, Senapati Bapat Road, Shivaji Nagar Model Colony (Bhamburda)",411016
Star Bazaar,Star Bazaar,Pimple Saudagar,"Ground Floor, Gate No 3, Periwinkle Building, Hissa No. 4, Pimple Saudagar (Opposite Roseland Residency)",411027
Star Bazaar,Star Bazaar,Mukund Nagar,"Manohar House, 2nd Floor, Survey No 8/10, Pune Satara Road, Mukund Nagar (Next to Saibaba Mandir)",411037
Reliance Mart,Reliance SMART Superstore,Wanowrie/Fatima Nagar,"Survey No 15, Tain Square Building, Pune Solapur Road, Fatima Nagar, Wanowrie",411040
Reliance Mart,Reliance SMART Superstore,Erandwane,"1st Floor 8/13, Down Tall Mall, Khilare Patil Road, Erandwane (Near Trends)",411004
Reliance Mart,Reliance SMART Bazaar,Aundh,"Westend Center, DP Road, Aundh (Opposite Macdonald)",411007
Reliance Mart,Reliance SMART Superstore,Kharadi,"Shop No 2B/2C, Survey No 8, Kharadi South Main Road, Kharadi",411014
Reliance Mart,Reliance SMART Superstore (Platinum Towers),Kharadi,"Shop No 28/3/1, The Platinum Towers, Old Mundhwa Rd, Tukaram Nagar, Kharadi",411014
Reliance Mart,Reliance SMART Bazaar,Vishrantwadi,"Shop No 44, Shoppers Orbit Mall, Alandi Road, Vishrantwadi",411015
Reliance Mart,Reliance SMART Bazaar,Gultekdi/Swargate,"Shop No 42/43, Shankar Seth Road, Swargate, Gultekdi (Near Poona College)",411037
Reliance Mart,Smart Bazaar,Kothrud,"Plot No CC3, Revoultion Mall, Kothrud (Near City Pride Multiplex, Paschimanagri)",411038
Reliance Mart,Reliance SMART Superstore,Chakan,"Gat No 1638 & 1648, Pune Nashik Highway, khed, Chakan (Near Chakan Petrol Depot)",410501
Reliance Mart,Mega Smart Bazaar,Kalyani Nagar,"Digambar Nagar, Kalyani Nagar Road, Kalyani Nagar-Vadgaon Sheri",411014
